Local time,Open,High,Low,Close,Volume
01.03.2022 02:39:00.000 GMT+0100,1903.618,1903.648,1903.128,1903.578,75530
01.03.2022 02:40:00.000 GMT+0100,1903.578,1903.578,1903.148,1903.184,93010.0009
01.03.2022 02:41:00.000 GMT+0100,1903.218,1903.548,1903.218,1903.488,82079.9991
01.03.2022 02:42:00.000 GMT+0100,1903.488,1903.728,1902.896,1903.088,83619.9969
01.03.2022 02:43:00.000 GMT+0100,1903.088,1903.288,1902.748,1902.968,99100.0012
01.03.2022 02:44:00.000 GMT+0100,1902.968,1903.388,1902.938,1903.288,79020.001
01.03.2022 02:45:00.000 GMT+0100,1903.288,1903.628,1903.278,1903.578,100369.9973
01.03.2022 02:46:00.000 GMT+0100,1903.578,1903.606,1903.208,1903.358,84260.0018
01.03.2022 02:47:00.000 GMT+0100,1903.358,1903.408,1903.098,1903.248,70200.0037
01.03.2022 02:48:00.000 GMT+0100,1903.248,1903.538,1903.078,1903.488,77770.0022
01.03.2022 02:49:00.000 GMT+0100,1903.488,1903.488,1903.218,1903.308,92940.0027
01.03.2022 02:50:00.000 GMT+0100,1903.308,1903.338,1903.198,1903.268,77500.0006
01.03.2022 02:51:00.000 GMT+0100,1903.278,1903.318,1902.928,1902.988,38550.0006
01.03.2022 02:52:00.000 GMT+0100,1902.988,1903.098,1902.748,1903.008,45960.0016
01.03.2022 02:53:00.000 GMT+0100,1903.008,1903.428,1902.998,1903.127,87700.0019
01.03.2022 02:54:00.000 GMT+0100,1903.131,1903.143,1902.838,1902.898,52639.9985
01.03.2022 02:55:00.000 GMT+0100,1902.898,1903.008,1902.548,1902.748,94080.0011
01.03.2022 02:56:00.000 GMT+0100,1902.748,1903.058,1902.628,1902.738,107050.0016
01.03.2022 02:57:00.000 GMT+0100,1902.738,1903.168,1902.738,1903.065,103859.9983
01.03.2022 02:58:00.000 GMT+0100,1903.065,1903.065,1902.828,1902.918,106339.9985
01.03.2022 02:59:00.000 GMT+0100,1902.898,1902.928,1902.748,1902.828,134580.0012
01.03.2022 03:00:00.000 GMT+0100,1902.828,1903.238,1902.788,1903.208,73830.0011
01.03.2022 03:01:00.000 GMT+0100,1903.208,1903.228,1902.368,1902.508,51509.9987
01.03.2022 03:02:00.000 GMT+0100,1902.508,1902.618,1902.418,1902.478,63359.9982
01.03.2022 03:03:00.000 GMT+0100,1902.498,1902.788,1902.428,1902.748,61200.0003
01.03.2022 03:04:00.000 GMT+0100,1902.748,1902.758,1902.498,1902.638,80130.0034
01.03.2022 03:05:00.000 GMT+0100,1902.638,1902.938,1902.538,1902.778,57900.0004
01.03.2022 03:06:00.000 GMT+0100,1902.778,1902.778,1902.107,1902.173,44250.0003
01.03.2022 03:07:00.000 GMT+0100,1902.172,1902.533,1902.168,1902.411,43069.9997
01.03.2022 03:08:00.000 GMT+0100,1902.410,1902.488,1901.968,1901.968,85430.0037
01.03.2022 03:09:00.000 GMT+0100,1901.968,1902.123,1901.498,1901.518,90140
01.03.2022 03:10:00.000 GMT+0100,1901.498,1901.928,1901.458,1901.468,59889.9983
01.03.2022 03:11:00.000 GMT+0100,1901.413,1901.778,1901.268,1901.638,69559.9988
01.03.2022 03:12:00.000 GMT+0100,1901.638,1902.038,1901.548,1902.018,52110.0014
01.03.2022 03:13:00.000 GMT+0100,1902.018,1902.088,1901.905,1901.998,59930.0005
01.03.2022 03:14:00.000 GMT+0100,1901.998,1902.408,1901.828,1902.098,110469.9969
01.03.2022 03:15:00.000 GMT+0100,1902.098,1902.378,1901.968,1902.378,61280.001
01.03.2022 03:16:00.000 GMT+0100,1902.358,1902.488,1902.166,1902.167,43370.001
01.03.2022 03:17:00.000 GMT+0100,1902.186,1902.203,1901.648,1901.718,40759.9993
01.03.2022 03:18:00.000 GMT+0100,1901.748,1902.098,1901.718,1902.068,47339.9982
01.03.2022 03:19:00.000 GMT+0100,1902.058,1902.058,1901.838,1901.928,37310.0005
01.03.2022 03:20:00.000 GMT+0100,1901.928,1902.328,1901.928,1902.288,21420.0001
01.03.2022 03:21:00.000 GMT+0100,1902.228,1902.398,1902.088,1902.088,28340.0007
01.03.2022 03:22:00.000 GMT+0100,1902.138,1902.358,1902.128,1902.358,32850.001
01.03.2022 03:23:00.000 GMT+0100,1902.378,1902.378,1902.228,1902.328,33029.9996
01.03.2022 03:24:00.000 GMT+0100,1902.398,1902.398,1902.308,1902.368,35100.0018
01.03.2022 03:25:00.000 GMT+0100,1902.318,1902.734,1902.128,1902.318,33539.9993
01.03.2022 03:26:00.000 GMT+0100,1902.318,1902.648,1902.258,1902.568,48569.9996
01.03.2022 03:27:00.000 GMT+0100,1902.568,1902.628,1902.408,1902.488,64139.9994
01.03.2022 03:28:00.000 GMT+0100,1902.508,1902.508,1902.198,1902.198,43400.0008
01.03.2022 03:29:00.000 GMT+0100,1902.198,1902.328,1902.138,1902.318,30330.0004
01.03.2022 03:30:00.000 GMT+0100,1902.318,1902.318,1901.788,1901.928,59050.0012
01.03.2022 03:31:00.000 GMT+0100,1901.933,1902.218,1901.888,1902.188,32010.0002
01.03.2022 03:32:00.000 GMT+0100,1902.188,1902.548,1902.188,1902.538,20519.9998
01.03.2022 03:33:00.000 GMT+0100,1902.538,1902.538,1902.248,1902.368,18629.9998
01.03.2022 03:34:00.000 GMT+0100,1902.368,1902.548,1902.358,1902.548,7950.0005
01.03.2022 03:35:00.000 GMT+0100,1902.558,1902.658,1902.558,1902.628,16920.0003
01.03.2022 03:36:00.000 GMT+0100,1902.628,1902.838,1902.588,1902.728,17969.9995
01.03.2022 03:37:00.000 GMT+0100,1902.758,1902.928,1902.718,1902.898,37409.9985
01.03.2022 03:38:00.000 GMT+0100,1902.948,1903.398,1902.812,1903.248,44560.0003
01.03.2022 03:39:00.000 GMT+0100,1903.248,1903.388,1902.960,1903.088,72820.0004
01.03.2022 03:40:00.000 GMT+0100,1903.088,1903.388,1903.008,1903.278,107060.0003
01.03.2022 03:41:00.000 GMT+0100,1903.268,1903.759,1903.268,1903.638,62229.9984
01.03.2022 03:42:00.000 GMT+0100,1903.648,1903.878,1903.598,1903.878,92200.0036
01.03.2022 03:43:00.000 GMT+0100,1903.878,1903.878,1903.668,1903.678,62079.9996
01.03.2022 03:44:00.000 GMT+0100,1903.678,1903.738,1903.498,1903.498,72020.0017
01.03.2022 03:45:00.000 GMT+0100,1903.498,1903.708,1903.498,1903.688,78900.0019
